Date,Amount,Description,Account
9/12/13,-493,Awesome Coffee Inc.,Purchasing Account
9/14/13,5041.39,Sales Deposit,Purchasing Account
9/18/13,-28,Pizza Pizza,Business Checking
9/20/13,49.5,Quickbooks Pro Subscription,Business Checking
9/21/13,-693,Awesome Coffee Inc.,Purchasing Account
9/21/13,3033.21,Sales Deposit,Purchasing Account
9/28/13,2200.39,Sales Deposit,Business Checking
9/29/13,-750,Nick's Pastry,Purchasing Account
9/30/13,-200,Awesome Cofee Inc.,Purchasing Account
10/1/13,-19.99,"Staples, Inc.",Business Checking
10/2/13,-29.99,Amazon.com,Business Checking
